,id,name,season,score,year,link,image,genre,producers,members,start_date,end_date,studios,source,themes,duration,rank,popularity,favorites,demographics
0,52991,Sousou no Frieren,fall,9.33,2023,https://myanimelist.net/anime/52991/Sousou_no_Frieren,https://cdn.myanimelist.net/images/anime/1015/138006.jpg,"Adventure, Drama, Fantasy","Aniplex, Dentsu, Shogakukan-Shueisha Productions, Nippon Television Network, TOHO animation, Shogakukan",896033,2023-09-29T00:00:00+00:00,2024-03-22T00:00:00+00:00,Madhouse,Manga,,24 min per ep,1,199,52483,Shounen
1,41467,Bleach: Sennen Kessen-hen,fall,9.01,2022,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,https://cdn.myanimelist.net/images/anime/1908/135431.jpg,"Action, Adventure, Fantasy","TV Tokyo, Aniplex, Dentsu, Shueisha",578097,2022-10-11T00:00:00+00:00,2022-12-27T00:00:00+00:00,Pierrot,Manga,,24 min per ep,12,388,21081,Shounen
2,43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,spring,9.0,2022,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,https://cdn.myanimelist.net/images/anime/1160/122627.jpg,"Comedy, Romance","Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications",971901,2022-04-09T00:00:00+00:00,2022-06-25T00:00:00+00:00,A-1 Pictures,Manga,School,23 min per ep,13,171,31677,Seinen
3,42938,Fruits Basket: The Final,spring,8.97,2021,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,https://cdn.myanimelist.net/images/anime/1085/114792.jpg,"Drama, Romance, Supernatural","TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music, 8PAN",497543,2021-04-06T00:00:00+00:00,2021-06-29T00:00:00+00:00,TMS Entertainment,Manga,,23 min per ep,15,467,20362,Shoujo
4,54492,Kusuriya no Hitorigoto,fall,8.89,2023,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto,https://cdn.myanimelist.net/images/anime/1708/138033.jpg,"Drama, Mystery","Dentsu, Square Enix, Nippon Television Network, TOHO animation, Shogakukan, Imagica Infos",478352,2023-10-22T00:00:00+00:00,2024-03-24T00:00:00+00:00,"OLM,TOHO animation STUDIO",Light novel,"Historical, Medical",22 min per ep,22,486,13254,
5,49387,Vinland Saga Season 2,winter,8.81,2023,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,https://cdn.myanimelist.net/images/anime/1170/124312.jpg,"Action, Adventure, Drama","Dentsu, Kodansha, Twin Engine",666047,2023-01-10T00:00:00+00:00,2023-06-20T00:00:00+00:00,MAPPA,Manga,"Gore, Historical",25 min per ep,31,324,15824,Seinen
6,55690,Boku no Kokoro no Yabai Yatsu 2nd Season,winter,8.8,2024,https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season,https://cdn.myanimelist.net/images/anime/1643/138581.jpg,"Comedy, Romance","Dentsu, TV Asahi, Movic, Magic Capsule, Avex Pictures, Akita Shoten, BS Asahi, TV Asahi Music",214765,2024-01-07T00:00:00+00:00,2024-03-31T00:00:00+00:00,Shin-Ei Animation,Manga,School,23 min per ep,33,1174,4724,Shounen
7,51009,Jujutsu Kaisen 2nd Season,summer,8.8,2023,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,https://cdn.myanimelist.net/images/anime/1792/138022.jpg,"Action, Fantasy","Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap",1052906,2023-07-06T00:00:00+00:00,2023-12-28T00:00:00+00:00,MAPPA,Manga,"Gore, School",23 min per ep,32,154,23097,Shounen
8,47917,Bocchi the Rock!,fall,8.77,2022,https://myanimelist.net/anime/47917/Bocchi_the_Rock,https://cdn.myanimelist.net/images/anime/1448/127956.jpg,Comedy,"Aniplex, Houbunsha",622921,2022-10-09T00:00:00+00:00,2022-12-25T00:00:00+00:00,CloverWorks,4-koma manga,"CGDCT, Music",23 min per ep,38,359,29796,
9,48583,Shingeki no Kyojin: The Final Season Part 2,winter,8.76,2022,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,https://cdn.myanimelist.net/images/anime/1948/120625.jpg,"Action, Drama, Suspense","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprises",1353136,2022-01-10T00:00:00+00:00,2022-04-04T00:00:00+00:00,MAPPA,Manga,"Gore, Military, Survival",23 min per ep,41,102,30548,Shounen
