,id,name,season,score,year,link,image,genre,producers,members,start_date,end_date,studios,source,themes,duration,rank,popularity,favorites,demographics
14,45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,fall,8.68,2021.0,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,https://cdn.myanimelist.net/images/anime/1028/117777.jpg,"Adventure, Drama, Fantasy, Ecchi","Frontier Works, TOHO, TOHO animation, Tokyo MX, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE Entertainment",868652,2021-10-04T00:00:00+00:00,2021-12-20T00:00:00+00:00,Studio Bind,Light novel,"Isekai, Reincarnation",23 min per ep,60.0,189,18214,
15,46102,Odd Taxi,spring,8.68,2021.0,https://myanimelist.net/anime/46102/Odd_Taxi,https://cdn.myanimelist.net/images/anime/1981/113348.jpg,"Award Winning, Drama, Mystery, Suspense","TV Tokyo, Dentsu, Pony Canyon, AT-X, Crunchyroll, Pony Canyon Enterprises, Yoshimoto Kogyo",414264,2021-04-06T00:00:00+00:00,2021-06-29T00:00:00+00:00,"OLM,P.I.C.S.",Original,"Adult Cast, Anthropomorphic, Organized Crime",23 min per ep,61.0,535,7983,
16,54898,Bungou Stray Dogs 5th Season,summer,8.66,2023.0,https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season,https://cdn.myanimelist.net/images/anime/1161/136691.jpg,"Action, Mystery, Supernatural","WOWOW, Lantis, Movic, Glovision, Crunchyroll, Sunrise Music, Kadokawa, Sony Music Solutions, Bandai Namco Music Live",152670,2023-07-12T00:00:00+00:00,2023-09-20T00:00:00+00:00,Bones,Manga,"Adult Cast, Detective, Organized Crime, Super Power, Vampire",23 min per ep,66.0,1470,1781,Seinen
17,41084,Made in Abyss: Retsujitsu no Ougonkyou,summer,8.65,2022.0,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou,https://cdn.myanimelist.net/images/anime/1864/122519.jpg,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Suspense","AT-X, Takeshobo, Kadokawa Media House, Cygames, Kadokawa, Global Solutions, Sony Music Solutions, IRMA LA DOUCE",419241,2022-07-06T00:00:00+00:00,2022-09-28T00:00:00+00:00,Kinema Citrus,Web manga,"Gore, Survival",25 min per ep,71.0,526,5711,
18,40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,spring,8.64,2020.0,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,https://cdn.myanimelist.net/images/anime/1764/106659.jpg,Comedy,"Aniplex, Mainichi Broadcasting System, Shueisha, JR East Marketing & Communications",1305833,2020-04-11T00:00:00+00:00,2020-06-27T00:00:00+00:00,A-1 Pictures,Manga,"Psychological, Romantic Subtext, School",24 min per ep,74.0,98,18789,Seinen
19,40748,Jujutsu Kaisen,fall,8.62,2020.0,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,https://cdn.myanimelist.net/images/anime/1171/109222.jpg,"Action, Award Winning, Fantasy","Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap",2412365,2020-10-03T00:00:00+00:00,2021-03-27T00:00:00+00:00,MAPPA,Manga,School,23 min per ep,82.0,16,87017,Shounen
20,54595,Kage no Jitsuryokusha ni Naritakute! 2nd Season,fall,8.56,2023.0,https://myanimelist.net/anime/54595/Kage_no_Jitsuryokusha_ni_Naritakute_2nd_Season,https://cdn.myanimelist.net/images/anime/1622/139331.jpg,"Action, Comedy, Fantasy","AT-X, Magic Capsule, BS NTV, Kadokawa, NewGin, Aiming",258980,2023-10-04T00:00:00+00:00,2023-12-20T00:00:00+00:00,Nexus,Light novel,"Isekai, Reincarnation",23 min per ep,101.0,906,3264,
21,50265,Spy x Family,spring,8.56,2022.0,https://myanimelist.net/anime/50265/Spy_x_Family,https://cdn.myanimelist.net/images/anime/1441/122795.jpg,"Action, Award Winning, Comedy","TV Tokyo, Shogakukan-Shueisha Productions, TOHO animation, Shueisha",1466787,2022-04-09T00:00:00+00:00,2022-06-25T00:00:00+00:00,"Wit Studio,CloverWorks",Manga,Childcare,24 min per ep,99.0,77,38656,Shounen
22,40417,Fruits Basket 2nd Season,spring,8.55,2020.0,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season,https://cdn.myanimelist.net/images/anime/1972/111635.jpg,"Drama, Romance, Supernatural","TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music, 8PAN",493638,2020-04-07T00:00:00+00:00,2020-09-22T00:00:00+00:00,TMS Entertainment,Manga,School,23 min per ep,106.0,435,5924,Shoujo
23,40776,Haikyuu!! To the Top Part 2,fall,8.55,2020.0,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2,https://cdn.myanimelist.net/images/anime/1453/106768.jpg,Sports,"Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",788619,2020-10-03T00:00:00+00:00,2020-12-19T00:00:00+00:00,Production I.G,Manga,"School, Team Sports",23 min per ep,109.0,232,6021,Shounen
